is_customer,duration_mths,credit_hist,purpose,credit_amt,savings,employed,installment_rate_pct,sex_status,guarantors,same_resid_since,property,age,other_installment_plans,housing,n_credits_this_bank,job,dependents,phone,foreign_worker,target
<0,6,critical account/  other credits existing (not at this bank),radio/television,1169,unknown/ no savings account,>= 7 years,4,male:single,none,4,real estate,67,none,own,2,skilled employee / official,1,yes,yes,1
0 - 200k,48,exist paid till now,radio/television,5951,< 100k,1 - 4 years  ,2,female:divorced/separated/married,none,2,real estate,22,none,own,1,skilled employee / official,1,no,yes,0
no checking account,12,critical account/  other credits existing (not at this bank),education,2096,< 100k,4 - 7 years,2,male:single,none,3,real estate,49,none,own,1,unskilled - resident,2,no,yes,1
<0,42,exist paid till now,furniture/equipment,7882,< 100k,4 - 7 years,2,male:single,guarantor,4,if not A121 : building society savings agreement/ life insurance,45,none,for free,1,skilled employee / official,2,no,yes,1
<0,24,delay in paying off in the past,car (new),4870,< 100k,1 - 4 years  ,3,male:single,none,4,unknown / no property,53,none,for free,2,skilled employee / official,2,no,yes,0
no checking account,36,exist paid till now,education,9055,unknown/ no savings account,1 - 4 years  ,2,male:single,none,4,unknown / no property,35,none,for free,1,unskilled - resident,2,yes,yes,1
no checking account,24,exist paid till now,furniture/equipment,2835,500k - 1M,>= 7 years,3,male:single,none,4,if not A121 : building society savings agreement/ life insurance,53,none,own,1,skilled employee / official,1,no,yes,1
0 - 200k,36,exist paid till now,car (used),6948,< 100k,1 - 4 years  ,2,male:single,none,2,"if not A121/A122 : car or other, not in attribute 6",35,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,yes,yes,1
no checking account,12,exist paid till now,radio/television,3059,>= 1M,4 - 7 years,2,male:divorced/separated,none,4,real estate,61,none,own,1,unskilled - resident,1,no,yes,1
0 - 200k,30,critical account/  other credits existing (not at this bank),car (new),5234,< 100k,unemployed,4,male:married/widowed,none,2,"if not A121/A122 : car or other, not in attribute 6",28,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,no,yes,0
0 - 200k,12,exist paid till now,car (new),1295,< 100k,< 1 year,3,female:divorced/separated/married,none,1,"if not A121/A122 : car or other, not in attribute 6",25,none,rent,1,skilled employee / official,1,no,yes,0
<0,48,exist paid till now,business,4308,< 100k,< 1 year,3,female:divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,24,none,rent,1,skilled employee / official,1,no,yes,0
0 - 200k,12,exist paid till now,radio/television,1567,< 100k,1 - 4 years  ,1,female:divorced/separated/married,none,1,"if not A121/A122 : car or other, not in attribute 6",22,none,own,1,skilled employee / official,1,yes,yes,1
<0,24,critical account/  other credits existing (not at this bank),car (new),1199,< 100k,>= 7 years,4,male:single,none,4,"if not A121/A122 : car or other, not in attribute 6",60,none,own,2,unskilled - resident,1,no,yes,0
<0,15,exist paid till now,car (new),1403,< 100k,1 - 4 years  ,2,female:divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",28,none,rent,1,skilled employee / official,1,no,yes,1
<0,24,exist paid till now,radio/television,1282,100k - 500k,1 - 4 years  ,4,female:divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",32,none,own,1,unskilled - resident,1,no,yes,0
no checking account,24,critical account/  other credits existing (not at this bank),radio/television,2424,unknown/ no savings account,>= 7 years,4,male:single,none,4,if not A121 : building society savings agreement/ life insurance,53,none,own,2,skilled employee / official,1,no,yes,1
<0,30,no credits taken/ all paid,business,8072,unknown/ no savings account,< 1 year,2,male:single,none,3,"if not A121/A122 : car or other, not in attribute 6",25,bank,own,3,skilled employee / official,1,no,yes,1
